timestamp,slice_type,slice_id,cpu_util_pct,mem_util_pct,bw_util_pct,active_users,queue_len,congestion_flag,Use Case Type,Packet Loss Budget,Latency Budget (ns),Jitter Budget (ns),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (ns),Slice Packet Loss,Slice Jitter (ns),Slice Handover
2025-01-01 00:00:00,ERLLC,ERLLC_01,65.23,43.56,63.71,61,0,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:01:00,ERLLC,ERLLC_01,55.14,44.94,56.43,60,0,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:02:00,ERLLC,ERLLC_01,60.07,47.52,59.89,61,1,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:03:00,ERLLC,ERLLC_01,62.14,46.32,64.56,59,5,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:04:00,ERLLC,ERLLC_01,59.68,44.98,57.05,61,6,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:05:00,ERLLC,ERLLC_01,65.87,45.84,64.97,59,4,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:06:00,ERLLC,ERLLC_01,60.87,43.27,67.76,64,5,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:07:00,ERLLC,ERLLC_01,61.43,44.21,59.54,56,7,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:08:00,ERLLC,ERLLC_01,64.58,46.05,63.46,62,7,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:09:00,ERLLC,ERLLC_01,62.8,46.89,65.94,62,6,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:10:00,ERLLC,ERLLC_01,59.84,43.53,59.89,58,7,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:11:00,ERLLC,ERLLC_01,64.26,43.98,65.83,64,6,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:12:00,ERLLC,ERLLC_01,61.39,48.01,60.57,62,6,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:13:00,ERLLC,ERLLC_01,62.11,44.91,60.83,61,4,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:14:00,ERLLC,ERLLC_01,61.4,47.52,59.54,60,3,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
2025-01-01 00:15:00,ERLLC,ERLLC_01,59.13,45.12,62.64,59,4,0,Motion control,"1,00E-06",1000,1000000,0,no,no,5680.998699489897,3095878.393077113,0.0005552074632143,2303196.3615678186,yes
